번호,영역,확인 질문,해보기,기대 결과,통과,기기,메모
0-1,테스트 정보,테스트 날짜,,,,,
0-2,테스트 정보,테스터,,,,,
0-3,테스트 정보,환경(브라우저·기기),,,,,
0-4,테스트 정보,계정,,,,,
0-5,테스트 정보,앱 주소,,,,,
1-1,가입·로그인,구매 이메일로만 가입되나?,회원가입→구매 이메일·비밀번호→가입하기,가입 성공 후 앱 입장,,,
1-2,가입·로그인,미구매 이메일은 막히나?,다른 이메일로 가입 시도,가입 불가·구매 이메일 안내,,,
1-3,가입·로그인,로그인↔회원가입 전환되나?,상단 로그인/회원가입 세그먼트,제목·폼이 바뀜,,,
1-4,가입·로그인,비밀번호 보기/숨기기 되나?,눈 아이콘,입력값 보이거나 가려짐,,,
1-5,가입·로그인,자동 로그인이 되나?,자동 로그인 체크→로그인→브라우저 재실행,세션 유지로 바로 앱,,,
1-6,가입·로그인,비밀번호를 잊었나요?,링크→이메일→재설정 메일,재설정 메일 보냄 안내,,,
1-7,가입·로그인,재설정 링크로 새 비번 되나?,메일 링크→새 비밀번호,변경 후 로그인 가능,,,
1-8,가입·로그인,틀린 로그인 안내가 있나?,틀린 비번으로 로그인,아이디/비번 오류 안내,,,
1-9,나의 계정,나의 계정이 열리나?,홈·3분할 나의 계정,MY ACCOUNT / 아이디(이메일),,,
1-10,나의 계정,구독 상태가 보이나?,구독 위젯,구독중·체험·만료 등 표시,,,
1-11,나의 계정,만료 임박 시 갱신 링크가 나오나?,만료 5일 이내 계정,자사몰 갱신 링크,,,
1-12,나의 계정,시급 계산이 되나?,월 소득·노동시간→계산하기,나의 시급(원) 결과,,,
1-13,나의 계정,시급 직접 입력이 되나?,직접 입력하기→저장,결과 반영·다른 화면 연동,,,
1-14,나의 계정,글꼴을 바꿀 수 있나?,글꼴에서 서체 선택,적용 안내·앱 UI 글꼴 변경,,,
1-15,나의 계정,비밀번호 변경이 되나?,현재/새/확인→변경하기,변경 성공 안내,,,
1-16,나의 계정,잘못된 현재 비번이면?,틀린 현재 비번으로 변경,저장 안 됨·안내,,,
1-17,나의 계정,로그아웃이 되나?,로그아웃,로그인/가입 화면으로,,,
1-18,나의 계정,회원 탈퇴가 되나?,회원 탈퇴→비번→탈퇴하기,탈퇴 완료·복구불가 안내대로,,,
2-1,홈·이동,모바일 홈 6메뉴가 있나?,오늘 홈,시간기록·플래너·시급상승·건강·행복·진행 상황,,,
2-2,홈·이동,각 메뉴로 들어가나?,아이콘·라벨 탭,해당 화면 로드,,,
2-3,홈·이동,데스크탑 3분할이 보이나?,넓은 화면 홈,좌 시간·중 진행/퀵·우 캘린더,,,
2-4,홈·이동,브랜드(로고) 새로고침이 되나?,상단 두들 플래너 로고,비지 않고 soft refresh,,,
2-5,홈·이동,퀵 KPI로 이동되나?,시급상승·건강·행복 버튼,각 전체 탭,,,
2-6,홈·이동,칸 전체 화면 확대가 되나?,시간·진행·캘린더 확대,해당 탭 전체 화면,,,
2-7,홈·이동,하단으로 오늘(홈) 가나?,다른 탭→푸터 뒤로,홈으로 복귀(홈에선 푸터 숨김),,,
2-8,홈·이동,마지막 탭이 복원되나?,플래너 사용 후 새로고침,직전 탭 복원,,,
2-9,홈·이동,관리자 FAB이 조건부인인가?,관리자/일반 홈 비교,관리자만 관리자전용,,,
3-1,플래너,Month/Week/Day/Year 전환되나?,하단 서브뷰,월·주·일·연 전환,,,
3-2,플래너,오늘·이전/다음 네비 되나?,"오늘, ‹ ›",해당 달·주·날·해 이동,,,
3-3,플래너,할일/일정 추가되나?,날짜 칸→할일/일정 입력→저장,칸·막대에 표시,,,
3-4,플래너,이모지 퀵버튼 되나?,추가 모달 ◽️📙🎬📍,이름에 붙음,,,
3-5,플래너,시작·마감 기간 막대 되나?,서로 다른 시작·마감,여러 날 가로 막대,,,
3-6,플래너,수정·삭제 되나?,항목 클릭→수정/삭제,반영,,,
3-7,플래너,캘린더일기 체크 되나?,추가/수정에서 캘린더일기,저장·숨김 규칙 적용,,,
3-8,플래너,일기 보기 토글 되나?,네비 일기 보기,보이기/가리기,,,
3-9,플래너,휴대폰 일기 기본 숨김?,휴대폰·일기 있는 날,기본 안 보임,,,
3-10,플래너,3분할 캘린더 일기 기본 숨김?,홈 3분할 캘린더,기본 숨김,,,
3-11,플래너,전체 플래너 일기는 기본 보임?,데스크탑 전체 플래너,기본 보임·토글로 가림,,,
3-12,플래너,날짜 펼치기(목록) 되나?,날짜 칸 펼침,목록·추가·스탬프,,,
3-13,플래너,스탬프 추가/변경 되나?,스탬프 추가·설정,날짜 아이콘 저장,,,
3-14,플래너,스탬프 드래그 이동 되나?,스탬프를 다른 날로,이동 후 유지,,,
3-15,플래너,할일 막대 드래그 되나?,월간 막대→다른 날 드롭,날짜 반영,,,
3-16,플래너,Day 예상 일정 추가·수정·삭제?,예상 일정 추가/수정·삭제,타임블록·남은 시간 갱신,,,
3-17,플래너,템플릿 저장·적용 되나?,Day 템플릿 저장→다른 날 적용,기존 예상 교체 안내대로,,,
3-18,플래너,전일 타임박스 전환 되나?,예상 일정 헤더(전일),전일 비교 뷰↔복귀,,,
3-19,플래너,Week 과거=실제인가?,Week·어제 이전,실제 기록 카드(흐림),,,
3-20,플래너,Week 오늘·미래=예상인가?,Week·오늘·내일,예상 일정 카드,,,
3-21,플래너,Week에 수면 보이나?,수면 예상 있는 날,수면 카드,,,
3-22,플래너,Week에 여유 구간 보이나?,예상 있는 오늘/미래,여유 ○○–○○,,,
3-23,플래너,빈 날에 하루통째 여유 안 뜨나?,예상 없는 날,00:00–23:59 여유 없음,,,
3-24,플래너,Day 남은 시간 보이나?,Day 뷰,남은 시간 표시,,,
3-25,플래너,Day 슬롯 드래그로 시간 조정?,격자 블록 드래그,시작·마감 반영,,,
3-26,플래너,Year에 할일 점 보이나?,Year·일정 있는 날,연간 셀 점,,,
3-27,플래너,새로고침·타기기에도 남나?,추가→새로고침/타기기,할일·스탬프·예상 유지,,,
3-28,플래너,하단 메뉴 위아래 여백 균형?,플래너 푸터,위아래 비슷,,,
4-1,시간기록,타임라인/타임박스/레포트 전환?,상단 보기 전환,각 레이아웃,,,
4-2,시간기록,과제 기록 추가되나?,푸터 과제 기록→과제·시간→기록,목록·타임라인 표시,,,
